,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,produc_h,Fixed_Costs_h,Semi_Fixed_h,Gross_Fluid_h,Water_Injected_h,Producer_Well_h,WI_Well_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
30,30,50,1,0.5700000000000001,1,0,1,0,1,1,1,1,1.1,1,1,1,1,1,418628.9962,69990.2776,477403.2057,128193.8739,605597.0796,2.6127404712455564,144552.5415,8931775.5934,8904418.1383,62.498910891403604,71.34169642886009,8.842785537456482,57.01655028689454,65.08365288246884,8.067102595574296,2039.0,2039.0,21.5421,21.5421,0.9527,0.8691,754507.0546,59723.9633,199331.9666,1540518.1927,38335.9344,827055.8098,59723.9633,250602.3645,1781315.1517,38335.9344
31,31,50,1,0.5700000000000001,1,0,0,1,1,1,1,1,1.1,1,1,1,1,1,418628.9962,38246.164,477403.2057,92932.7192,570335.9249,1.7758779435189929,145966.8301,8931775.5934,9161664.783,62.498910891403604,68.7373901405559,6.238479249152297,57.01655028689454,62.70779451419132,5.691244227296782,2038.0,2038.0,21.8296,21.8296,0.9985,0.9109,758183.8817,60278.9315,187155.3231,1506298.4138,43805.1172,831086.178,60278.9315,236868.3539,1742374.5056,43805.1172
32,32,50,1,0.5700000000000001,1,0,1,1,1,1,1,1,1.1,1,1,1,1,1,418628.9962,107231.8259,477403.2057,174376.2654,651779.4711,1.803059220514331,290519.3715,8931775.5934,9241500.6663,62.498910891403604,77.62169077122078,15.122779879817186,57.01655028689454,70.81277052813124,13.796220241236696,2039.0,2039.0,20.6161,20.6161,1.7573,1.6031,783902.0451,120002.8948,209713.3476,1679301.9435,39822.8339,859277.2417,120002.8948,264749.1768,1935631.6183,39822.8339
33,33,50,1,0.5700000000000001,1,1,1,0,1,1,1,1,1.1,1,1,1,1,1,418628.9962,121577.1513,477403.2057,187129.0618,664532.2675,2.48764957664616,239328.5373,8931775.5934,8992447.1573,62.498910891403604,76.7544533274813,14.255542436077697,57.01655028689454,70.0216065443689,13.00505625747436,2039.0,2039.0,20.2565,20.2565,1.4646,1.3362,762359.6497,94867.9063,217240.3122,1653009.9503,38335.9344,835663.4622,94867.9063,271622.2048,1905021.7752,38335.9344
34,34,50,1,0.5700000000000001,1,1,0,1,1,1,1,1,1.1,1,1,1,1,1,418628.9962,28655.2602,477403.2057,88629.4365,566032.6422,0.6028402733345166,453069.8182,8931775.5934,9844926.7521,62.498910891403604,75.32713934413997,12.828228452736367,57.01655028689454,68.71949554202244,11.702945255127903,2038.0,2038.0,21.2381,21.2381,2.8269,2.5789,795560.0194,153080.3244,174844.6938,1617890.7773,47121.4832,872056.1752,153080.3244,226406.279,1864696.9041,47121.4832
35,35,50,1,0.5700000000000001,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,418628.9962,147568.0111,477403.2057,227327.4056,704730.6114,1.1287608762140475,692398.3556,8931775.5934,10012791.6544,62.498910891403604,89.73936035564017,27.240449464236576,57.01655028689454,81.86748664023314,24.8509363533386,2039.0,2039.0,19.2054,19.2054,3.6154,3.2982,830425.4354,247948.2308,215459.272,1902867.6574,42837.712,910274.0349,247948.2308,275299.5226,2181090.1117,42837.712
36,36,50,1,0.5700000000000001,1,0,1,0,1,1,1,1,1,0.9,1,1,1,1,437775.8999,69538.4267,502191.5967,123608.3381,625799.9348,2.5437332420882854,144552.5415,8446270.1564,8428606.7057,64.21441218882794,73.05511436401761,8.840702175189675,58.58156901436937,66.6467709987529,8.065201984383522,2040.0,2040.0,21.3156,21.3156,0.9306,0.8489,742774.678,59723.9633,206640.0135,1551303.8309,34850.8495,814195.3201,59723.9633,258567.8027,1793137.8704,34850.8495
37,37,50,1,0.5700000000000001,1,0,0,1,1,1,1,1,1,0.9,1,1,1,1,437775.8999,37951.1443,502191.5967,88473.0461,590664.6428,1.7095824463976195,145966.8301,8446270.1564,8685853.3504,64.21441218882794,70.53675461983333,6.322342431005389,58.58156901436937,64.34932000405846,5.767750989689084,2039.0,2039.0,21.6379,21.6379,0.9733,0.8879,748464.5899,60278.9315,194464.3351,1518757.7345,39822.8339,820432.3389,60278.9315,244833.0908,1756031.8379,39822.8339
38,38,50,1,0.5700000000000001,1,0,1,1,1,1,1,1,1,0.9,1,1,1,1,437775.8999,104171.82,502191.5967,167158.8827,669350.4794,1.7390091874997176,290519.3715,8446270.1564,8765689.2337,64.21441218882794,77.62169077122078,13.40727858239285,58.58156901436937,70.81277052813124,12.231201513761865,2039.0,2039.0,20.0074,20.0074,1.7573,1.6031,761456.7605,120002.8948,216071.7345,1679301.9435,39822.8339,834673.7567,120002.8948,271781.6535,1935631.6183,39822.8339
39,39,50,1,0.5700000000000001,1,1,1,0,1,1,1,1,1,0.9,1,1,1,1,437775.8999,123243.8793,502191.5967,184677.3869,686868.9836,2.4812783434339125,239328.5373,8446270.1564,8516635.7247,64.21441218882794,80.24580630637765,16.03139411754971,58.58156901436937,73.20670049002872,14.625131475659357,2041.0,2041.0,20.4909,20.4909,1.402,1.279,760528.9079,94867.9063,225916.1539,1674015.3377,31682.5904,833656.6875,94867.9063,280970.7437,1928046.9115,31682.5904
